id,nct_id,outcome_type,title,description,time_frame,population,anticipated_posting_date,anticipated_posting_month_year,units,units_analyzed,dispersion_type,param_type
100779145,NCT01424566,SECONDARY,Percent Improvement From Eligibility Baseline In Mean NRS Average Pain Score At End Of Treatment,"Participants indicated level of pain in the last 24 hours on an 11-point NRS, where a score of 0 was ""no pain"" and 10 was ""pain as bad as you can imagine"". Eligibility Baseline = mean score from the 3-day eligibility period. End of Treatment = mean score over last (up to) 4 days to the final pain score at End of Treatment or up until Day 36 of the double-blind period, whichever is earlier, or final score available (prematurely terminated).

Percentage improvement from baseline (Imp%) was calculated as:

Imp% = (Eligibility Baseline pain NRS mean - End of Treatment pain NRS mean)/Eligibility Baseline pain NRS mean \* 100.

For participants who died or withdrew due to disease progression, Imp% values were used. For participants who died or withdrew unrelated to disease progression before end of Week 5, Imp% was zero for participants whose Imp% value was positive and it was Imp% for participants whose Imp% value was not positive.","Eligibility Baseline, End of Treatment (Day 36 of the double-blind period)","The ITT Population included all participants who were randomized, received at least 1 dose of study drug, and had at least 1 efficacy endpoint. Participants were analyzed according to the treatment group they were randomized to.",,,percent improvement,,Inter-Quartile Range,MEDIAN
100779146,NCT01424566,SECONDARY,Change From Randomization Baseline In Mean NRS Worst Pain At End Of Treatment,"Participants indicated the level of worst pain experienced in the last 24 hours on an 11-point NRS, where a score of 0 indicated ""no pain"" and a score of 10 indicated ""pain as bad as you can imagine."" Change in mean NRS worst pain was calculated as: End of Treatment NRS worst pain score - Randomization (Part B) Baseline NRS worst pain score. The participant's Randomization (Part B) baseline worst pain 0-10 NRS value was the mean over the last 4 consecutive days of the single-blind treatment period (Part A; pre-randomization). A negative value indicates an improvement in worst pain score from Randomization (Part B) Baseline.","Randomization Baseline, End of Treatment (Day 36 of the double-blind period)","The ITT Population included all participants who were randomized, received at least 1 dose of study drug, and had at least 1 efficacy endpoint. Participants were analyzed according to the treatment group they were randomized to.",,,units on a scale,,Standard Deviation,MEAN
100897336,NCT00795600,SECONDARY,Percentage Change in Whole Body Fat Mass,"Percentage Change in Whole Body Fat Mass as response variable with treatment, sex and Metformin use as fixed factors, and whole Body Fat Mass at week 0 as covariate.","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the change in whole body fat mass at week 26.,,,percent change,,Standard Error,LEAST_SQUARES_MEAN
100897337,NCT00795600,SECONDARY,Absolute Change in Whole Body Lean Mass,"Absolute change in whole body lean mass as response variable with treatment, sex and Metformin use as fixed factors, whole body lean mass at week 0 as covariate.","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the change in whole body lean mass at week 26.,,,grams (g),,Standard Error,LEAST_SQUARES_MEAN
100897338,NCT00795600,SECONDARY,Percentage Change in Whole Body Lean Mass,"Percentage Change in Whole Body Lean Mass as response variable with treatment, sex and Metformin use as fixed factors, and whole Body Lean Mass at week 0 as covariate.","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the change in whole body lean mass at week 26.,,,percent change,,Standard Error,LEAST_SQUARES_MEAN
100897339,NCT00795600,SECONDARY,Absolute Change in Trunk Lean Mass,"Absolute change in trunk lean mass as response variable with treatment, sex and Metformin use as fixed factors, and trunk lean mass at week 0 as covariate","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the change in trunk lean mass at week 26.,,,grams (g),,Standard Error,LEAST_SQUARES_MEAN
100897340,NCT00795600,SECONDARY,Percentage Change in Trunk Lean Mass,"Percentage Change in Trunk Lean Mass as response variable with treatment, sex and Metformin use as fixed factors, and Trunk Lean Mass at week 0 as covariate.","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the change in trunk lean mass at week 26.,,,percent change,,Standard Error,LEAST_SQUARES_MEAN
100897341,NCT00795600,SECONDARY,Absolute Change in Calculated Whole Body Fat Percentage,"Absolute change in calculated whole body fat percentage as response variable with treatment, sex and Metformin use as fixed factors, and calculated whole body fat percentage at week 0 as covariate","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the calculated whole body fat percentage at week 26.,,,percent of whole body fat (%),,Standard Error,LEAST_SQUARES_MEAN
100897342,NCT00795600,SECONDARY,Percentual Change in Calculated Whole Body Fat Percentage,"Percentual Change in Calculated Whole Body Fat Percentage as response variable with treatment, sex and Metformin use as fixed factors, and Calculated Whole Body Fat Percentage at week 0 as covariate.","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the calculated whole body fat percentage at week 26.,,,percent change,,Standard Error,LEAST_SQUARES_MEAN
100897343,NCT00795600,SECONDARY,Absolute Change in Calculated Trunk Fat Percentage,"Absolute change in calculated trunk fat percentage as response variable with treatment, sex and Metformin use as fixed factors, and calculated trunk fat percentage at week 0 as covariate","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the calculated trunk fat percentage at week 26.,,,percent of trunk fat (%),,Standard Error,LEAST_SQUARES_MEAN
100897344,NCT00795600,SECONDARY,Percentual Change in Calculated Trunk Fat Percentage,"Percentual Change in Calculated Trunk Fat Percentage as response variable with treatment, sex and Metformin use as fixed factors, and Calculated Trunk Fat Percentage at week 0 as covariate.","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the calculated trunk fat percentage at week 26.,,,percent change,,Standard Error,LEAST_SQUARES_MEAN
100897345,NCT00795600,SECONDARY,Absolute Change in Visceral Adipose Tissue Area,"Absolute change in visceral adipose tissue area as response variable with treatment, sex and Metformin use as fixed factors, and visceral adipose tissue area at week 0 as covariate","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the visceral adipose tissue area at week 26.,,,cm^2,,Standard Error,LEAST_SQUARES_MEAN
100897346,NCT00795600,SECONDARY,Percentage Change in Visceral Adipose Tissue Area,"Percentage Change in Visceral Adipose Tissue Area as response variable with treatment, sex and Metformin use as fixed factors, and Visceral Adipose Tissue Area at week 0 as covariate.","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the visceral adipose tissue area at week 26.,,,percent change,,Standard Error,LEAST_SQUARES_MEAN
100779147,NCT01424566,SECONDARY,Change From Randomization Baseline In Mean Sleep Disruption NRS At End Of Treatment,"Participants indicated the level of sleep disruption experienced in the last 24 hours on an 11-point NRS, where a score of 0 indicated ""did not disrupt sleep"" and a score of 10 indicated ""completely disrupted (unable to sleep at all)."" Change in mean sleep disruption NRS was calculated as: End of Treatment sleep disruption NRS score - Randomization (Part B) Baseline sleep disruption NRS score. The participant's Randomization (Part B) baseline sleep disruption 0-10 NRS value was the mean over the last 4 consecutive days of the single-blind treatment period (Part A; pre-randomization). A negative value indicates an improvement in sleep disruption score from Randomization (Part B) Baseline.","Randomization Baseline, End of Treatment (Day 36 of the double-blind period)","The ITT Population included all participants who were randomized, received at least 1 dose of study drug, and had at least 1 efficacy endpoint. Participants were analyzed according to the treatment group they were randomized to.",,,units on a scale,,Standard Deviation,MEAN
